Item	Item	Country	State	Name	Latitude	Longitude	DistanceFromSource	IWDay	IWHr	IWMin	TTHr	TTMin	MWDay	MWHr	MMWMin	MaxWaterHeight	MaxInundationDistance	Type	Per	1st	Mtn	z1	z2
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55600 	95.31500 	256 									7.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59400 	95.37100 	259 									7.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57500 	95.32800 	258 									7.30 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.61400 	95.39900 	261 									7.30 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59700 	95.38500 	259 									7.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59600 	95.39300 	259 									7.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57500 	95.34100 	258 									7.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57500 	95.34200 	258 									7.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57400 	95.34500 	257 									7.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48000 	95.24300 	250 									7.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57500 	95.32500 	258 									7.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57500 	95.32500 	258 									7.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48100 	95.24400 	250 									7.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55800 	95.31100 	257 									7.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57100 	95.32800 	258 									7.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57700 	95.32900 	258 									12.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55600 	95.29300 	257 									12.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55100 	95.30100 	256 									12.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.53200 	95.28900 	254 									12.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.54300 	95.24700 	257 									12.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55500 	95.30600 	256 									13.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47300 	95.25500 	249 									13.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.61000 	95.39700 	260 									13.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48900 	95.23300 	251 									13.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.54000 	95.29800 	255 									13.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.53400 	95.29200 	254 									13.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.53900 	95.25600 	256 									14.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.50200 	95.22900 	253 									14.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47900 	95.24300 	250 									14.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.53900 	95.25700 	256 									14.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.65000 	95.42000 	264 									14.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.61100 	95.38900 	260 									14.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59300 	95.33600 	260 									15.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.50700 	95.26000 	252 									15.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55600 	95.28500 	257 									15.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55500 	95.28600 	257 									16.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.61000 	95.39700 	260 									16.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.61100 	95.39000 	260 									16.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47900 	95.24500 	250 									16.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47900 	95.24200 	250 									16.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47900 	95.24200 	250 									16.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47900 	95.24100 	250 									16.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47800 	95.24100 	250 									16.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47800 	95.24800 	250 									17.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47800 	95.24600 	250 									17.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47900 	95.24200 	250 									17.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.54700 	95.23900 	257 									17.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47800 	95.24100 	250 									18.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55300 	95.23400 	258 									18.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55600 	95.23700 	258 									18.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.54700 	95.23600 	257 									18.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.54600 	95.23400 	257 									19.30 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47800 	95.24000 	250 									19.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55500 	95.23600 	258 									19.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47100 	95.25300 	249 									19.80 		5 	
